Species,Region ID,Plot Name,Plot ID,Size,Class ID,Max Dia,Dia,Tree Num,Location,Measure Date,Measure Num,Status ID,
Species,Trivial,Denied,Denied,Denied,Denied,Denied,Accepted,Denied,Denied,Denied,Denied,Denied,Denied,
Region ID,Denied,Trivial,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,
Plot Name,Denied,Accepted,Trivial,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,
Plot ID,Denied,Accepted,Accepted,Trivial,Accepted,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,
Size,Denied,Denied,Denied,Denied,Trivial,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,
Class ID,Denied,Denied,Denied,Denied,Denied,Trivial,Denied,Denied,Denied,Denied,Denied,Denied,Denied,
Max Dia,Denied,Denied,Denied,Denied,Denied,Denied,Trivial,Denied,Denied,Denied,Denied,Denied,Denied,
Dia,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Trivial,Denied,Denied,Denied,Denied,Accepted,
Tree Num,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Trivial,Denied,Denied,Denied,Denied,
Location,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Trivial,Denied,Denied,Denied,
Measure Date,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Trivial,Denied,Denied,
Measure Num,Accepted,Accepted,Accepted,Accepted,Accepted,Accepted,Accepted,Accepted,Accepted,Accepted,Accepted,Trivial,Accepted,
Status ID,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Denied,Trivial,
